Meanwhile, Centre for Disease Control has recommended that sporting events and other large events and mass gatherings be cancelled or postponed for the next eight weeks.	
Law Minister Ravi Shankar Prasad said all those involved in the most reprehensible crimes including the Nirbhaya gang-rape case, should be awarded capital punishment.	
Health Secretary Rajesh Bhushan has written to Kerala Chief Secretary recommending measures to be taken in wake of the outbreak in Kozhikode, based on a report submitted by a Central team that visited the district.	
In the mixed doubles, India's Kona Tarun, partnering Canada's B R Sankeerth failed to cross the first round hurdle, losing to Korean duo of Lee Yong Dae and Yoo Yeon Seong 21-11, 21-11.	भारत के कोना तरुण और कनाडा के बी.आर. संकीर्थ की जोड़ी मिश्रित युगल के पहले राउंड में कोरिया के ली योंग डे और यू योन सेओंग से 21-11, 21-11 से हार गयी।
Prime Minister Narendra Modi’s two-day visit to Kyrgyzstan for SCO Summit at Bishkek from tomorrow is expected to further boost the bilateral ties with Kyrgyzstan.	बिश्केक में कल से शुरू हो रहे एससीओ सम्मेलन के लिए प्रधानमन्त्री नरेंद्र मोदी कि दो दिवसीय किर्गिस्तान यात्रा से दोनों देशों के सम्बन्ध और ज्यादा मजबूत होने कि उम्मीद लगे जा रही है |
The Prime Minister said, he will be connecting with Olympics contingent in virtual node in July, to motivate them and assure them that a proud nation stands with them.	
In his address after inaugurating the Vaishvik Bhartiya Vaigyanik, (VAIBHAV) Summit last evening through video conference, the Prime Minister said, just recently, India introduced pioneering space reforms which provide opportunities for both industry and academia.	
Prakash Javadekar says, there has been decrease in corruption due to steps taken by NDA govt	प्रकाश जावड़ेकर ने कहा कि भ्रष्टाचार में एनडीए सरकार द्वारा उठाए गए कदमों से कमी आई है ।
Ways to enhance the bilateral trade volume, as well as trade value, were also discussed.	
On its part the Film Division is organizing online film festival titled India@75Voyage of Progress.	फिल्म प्रभाग अपनी तरफ से इंडिया@75वोयाजऑफ प्रोग्रेस नाम सेऑनलाइन फिल्म महोत्सव का आयोजन कर रहा है।
Briefing media in New Delhi, Director General in the Commission, Dilip Sharma said, of the total seizure, cash worth over 839 crore rupees and drugs worth 1270 crore rupees were confiscated.	
This format was a huge success during the last 2 years.	
SC dismisses PIL on 100% matching of VVPAT slips with EVMs	
US President Joe Biden and first lady Jill Biden will attend memorials in New York and at Shanksville in Pennsylvania – the location of the fallen United Airlines 93 flight.	
The aim of the summit is to bring Indian origin luminaries in academic institutes and Research and Development organizations across the world and resident counterparts on a single platform to debate upon collaboration mechanisms to strengthen academic and Science and Technology base in India for global development.	
The BJP President said, after a long time, the people of the country have seen a general election where inflation and corruption issues were missing.	
He said he has not seen a Prime Minister who connected with the people in the way Prime Minister Narendra Modi has.	उन्होंने कहा किउन्होंने ऐसा प्रधान मंत्री नहीं देखा है जिसने लोगों के साथ इस तरह से संबंध जोड़ा है जैसे प्रधान मंत्री नरेंद्र मोदी ने किया है।
The applicants can also pose their questions on this platform.	आवेदक इस प्लैटफॉर्म पर भी अपने सवाल पूछ सकते हैं।
Dr Biswas said, in case of infection, most of the people have mild upper respiratory infection and it is self limiting.	
He also said that other revolutionaries from Bengal should get deserved respect and regard.	
He said, the country will also celebrate 250th Birth Anniversary of great social reformer Raja Ram Mohan Roy.	
4th Day of IFFI: Films 180 degree Rule, Still Alive, Sincerely Yours Dhaka to be screened today	
SPG protection given to former PM Manmohan Singh withdrawn	
Apart from Kashyap, it was curtains for some of the other Indians in fray as well-- Ajay Jayaram, Sri Krishna Priya Kudaravalli and Aruna Prabhudesai.	अजय जयराम, श्रीकृष्ण प्रिया कुदरवल्ली और अरुणा प्रभुदेसाई; ये कुछ अन्य भारतीय भीकश्यप के साथ मैदान में थे।
Novak Djokovic will be seeking his 18th Grand Slam title.	
The Prime Minister said, Indian and Bangladeshi governments are making meaningful efforts in this direction.	
It had further said that its three members are not expected to be template or clones of each other.	
The Campaign will continue to run for the next 100 days.	
Italy has put entire country under travel restrictions to curb coronavirus	
Education Minister virtually launches AICTE's Lilavati Award-2020	
J P Nadda launches BJP’s Booth Vijay Abhiyan through video conferencing	जेपी नड्डा ने वीडिया कांफ्रेंसिंग के जरिए भाजपा के वूथ विजय अभियान का आगाज़ किया।
The remaining two projects are Integrated Water Supply Projects at Imphal East and Imphal West respectively.	
They agreed that radicalisation should not be allowed to affect the multicultural thread prevailing in both countries.	
